Approved symbol,UniProt ID(supplied by UniProt),NCBI Gene ID(supplied by NCBI)
NUDT4B,A0A024RBG1,440672
IGKV3-7,A0A075B6H7,28915
IGKV1D-42,A0A075B6H8,28892
IGLV4-69,A0A075B6H9,28784
IGLV8-61,A0A075B6I0,28774
IGLV4-60,A0A075B6I1,28785
IGLV11-55,A0A075B6I3,28770
IGLV10-54,A0A075B6I4,28772
IGLV1-50,A0A075B6I6,28821
IGLV5-48,A0A075B6I7,28780
IGLV7-46,A0A075B6I9,28775
IGLV5-37,A0A075B6J1,28783
IGLV2-33,A0A075B6J2,28811
IGLV3-22,A0A075B6J6,28795
IGLV2-18,A0A075B6J9,28814
IGLV3-16,A0A075B6K0,28799
IGLV3-12,A0A075B6K2,28802
IGLV3-10,A0A075B6K4,28803
IGLV3-9,A0A075B6K5,28804
IGLV4-3,A0A075B6K6,28786
TRGV11,A0A075B6L2,6985
TRBV7-3,A0A075B6L6,28595
TRBV19,A0A075B6N1,28568
TRBV20-1,A0A075B6N2,28567
TRBV24-1,A0A075B6N3,28563
TRBV25-1,A0A075B6N4,28562
IGKV2-28,A0A075B6P5,28921
IGHV3-64,A0A075B6Q5,28414
TRGV2,A0A075B6R0,6974
IGHV4-4,A0A075B6R2,28401
IGKV2D-24,A0A075B6R9,28885
TRGJ1,A0A075B6S0,6968
IGKV2D-29,A0A075B6S2,28882
IGKV1D-17,A0A075B6S4,28900
IGKV1-27,A0A075B6S5,28935
IGKV2D-30,A0A075B6S6,28881
IGKV1-37,A0A075B6S9,28931
TRAV12-2,A0A075B6T6,28673
TRAV6,A0A075B6T7,6956
TRAV9-1,A0A075B6T8,28678
TRAV7,A0A075B6U4,28686
TRAV36DV7,A0A075B6V5,28646
TRAV23DV6,A0A075B6W5,28660
TRAV18,A0A075B6X5,28665
TRAJ3,A0A075B6Y3,28752
TRAJ42,A0A075B6Y9,28713
TRAJ31,A0A075B700,28724
TRDJ1,A0A075B706,28522
PPIAL4E,A0A075B759,730262
PPIAL4H,A0A075B767,105371242
IGLV5-45,A0A087WSX0,28781
IGHV4-30-2,A0A087WSY4,28398
IGKV3D-15,A0A087WSY6,28875
IGKV1D-8,A0A087WSZ0,28904
TRAV30,A0A087WSZ9,28652
TRAV27,A0A087WT01,28655
TRAV9-2,A0A087WT02,28677
TRAV26-1,A0A087WT03,28657
TMEM265,A0A087WTH1,100862671
NBPF19,A0A087WUL8,101060226
SPEGNB,A0A087WV53,100996693
TRBV16,A0A087WV62,28571
TBC1D3D,A0A087WVF3,101060389
IGKV2-40,A0A087WW87,28916
P3R3URF,A0A087WWA1,110117498
MEIKIN,A0A087WXM9,728637
TBC1D3I,A0A087WXS9,102724862
TRBV17,A0A087X0K7,28570
TRBV18,A0A087X0M5,28569
TBC1D3E,A0A087X179,102723859
CYP2D7,A0A087X1C5,1564
TBC1D3K,A0A087X1G2,101060351
DEFB131B,A0A096LNP1,100129216
SMIM26,A0A096LP01,388789
CCDC187,A0A096LP49,399693
UQCRHL,A0A096LP55,440567
CCDC28A-AS1,A0A096LPI5,100507462
OR4N4C,A0A096LPK9,105369274
IGKV2D-26,A0A0A0MRZ7,28884
IGKV3D-11,A0A0A0MRZ8,28876
IGLV5-52,A0A0A0MRZ9,28779
IGLV3-32,A0A0A0MS00,28787
TRGV10,A0A0A0MS01,6984
TRGV1,A0A0A0MS02,6973
TRBV5-3,A0A0A0MS03,28612
TRBV6-7,A0A0A0MS04,28600
TRBV5-7,A0A0A0MS05,28608
TRBV23-1,A0A0A0MS06,28564
IGHV1-45,A0A0A0MS14,28466
IGHV3-49,A0A0A0MS15,28423
IGKV6D-21,A0A0A0MT36,28870
TRBJ2-6,A0A0A0MT70,28623
IGLJ1,A0A0A0MT76,28833
TRBJ2-7,A0A0A0MT78,28622
TRBJ2-4,A0A0A0MT87,28625
IGKJ1,A0A0A0MT89,28950
TRBJ2-2,A0A0A0MT94,28628
TRBJ2-5,A0A0A0MTA4,28624
TRBJ2-1,A0A0A0MTA7,28629
TRAV14DV4,A0A0A6YYC5,28669
TRBV13,A0A0A6YYD4,28574
TRBV6-6,A0A0A6YYG2,28601
TRBV6-8,A0A0A6YYG3,28599
TRAV8-3,A0A0A6YYJ7,28683
TRAV8-1,A0A0A6YYK1,28685
TRBV7-1,A0A0A6YYK4,28597
TRAV16,A0A0A6YYK6,28667
